# Logfile created on 2016-09-08 13:56:24 +0200 by logger.rb/v1.2.7
stop:1473337178 #<Container name:borg-6251687275-942 ID:49861be83a2d4921bf5339296da67a3ff056b2a1589f014bb127d372dd68c208 start:1473336723 generation_timestamps:{:nursery=>{:start=>1473336723, :stop=>1473337178}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.603721740966921, :mean=>0.35801120988224205}, :memory=>{:max=>267116544, :mean=>264454527}}>
stop:1473337197 #<Container name:borg-6251687275-729 ID:d2280c3deba40936da50f7bdc0ce4718c4c37171f609f80776f9f96b3cbf6044 start:1473336722 generation_timestamps:{:nursery=>{:start=>1473336722, :stop=>1473337197}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>2.277620798211291, :mean=>0.3695527035681833}, :memory=>{:max=>267112448, :mean=>264211333}}>
stop:1473337217 #<Container name:borg-6251687275-98 ID:443e957509db8426dc4f9f86ed4afe3c4d03d13cacbb7e22fd4f3d6cf422be11 start:1473336704 generation_timestamps:{:nursery=>{:start=>1473336704, :stop=>1473337217}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.8184769137254901, :mean=>0.3351324447875273}, :memory=>{:max=>267116544, :mean=>265359438}}>
stop:1473337227 #<Container name:borg-6251687275-517 ID:b5d8aa305838122646c9873d7bcd32115bf63a7651a5956d0a33597de21e3c76 start:1473336705 generation_timestamps:{:nursery=>{:start=>1473336705, :stop=>1473337227}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.997092243544601, :mean=>0.3540385447444684}, :memory=>{:max=>267116544, :mean=>263593866}}>
stop:1473337242 #<Container name:borg-6251699832-26 ID:549e3655c93d9f7f0026b8dbb7072c55618bb66623596d2f31321422b94b6f66 start:1473336949 generation_timestamps:{:nursery=>{:start=>1473336949, :stop=>1473337242}} generation_current:nursery cpu:0.074952 mem:0.018648 metrics:{:cpu=>{:max=>1.0872918352331606, :mean=>0.21647610484424643}, :memory=>{:max=>18644992, :mean=>18442667}}>
stop:1473337358 #<Container name:borg-6251747818-0 ID:2648977f03e6f37fc69883736c67c746a83df5bfa77da02ca7d161ab69bfae54 start: generation_timestamps:{:nursery=>{:stop=>1473337358}} generation_current:nursery cpu:0.0 mem:0.005 metrics:{:cpu=>{:max=>0, :mean=>0}, :memory=>{:max=>0, :mean=>0}}>
stop:1473337508 #<Container name:borg-6251540546-0 ID:da156a76fb1e5b19f49de214f55e307e851807e26d5035091c8af53f6a89a816 start:1473335854 generation_timestamps:{:nursery=>{:start=>1473335854, :stop=>1473337508}} generation_current:nursery cpu:0.19992 mem:0.2036 metrics:{:cpu=>{:max=>1.2662048162828066, :mean=>0.13510615701207163}, :memory=>{:max=>203599872, :mean=>202969464}}>
stop:1473337533 #<Container name:borg-6251717526-527 ID:ddb4c89a9f5eba5d9ae98b9a1db8361f1849aee4b79c8879a181dc1b0c471a43 start:1473337232 generation_timestamps:{:nursery=>{:start=>1473337232, :stop=>1473337533}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.1115026094198737, :mean=>0.5738518242566927}, :memory=>{:max=>267116544, :mean=>263724423}}>
stop:1473337533 #<Container name:borg-6251717526-125 ID:058d1c29f725945c3ee60f656204460785af8214e5b0021ce530d54fc7603753 start:1473337229 generation_timestamps:{:nursery=>{:start=>1473337229, :stop=>1473337533}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.7240395811764706, :mean=>0.5165308828152676}, :memory=>{:max=>267116544, :mean=>264768081}}>
stop:1473337533 #<Container name:borg-6251717526-25 ID:5300b7503e50e5308886bd07182f48528030f6831c526b0f8a52e1adc9fc454b start:1473337230 generation_timestamps:{:nursery=>{:start=>1473337230, :stop=>1473337533}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.3547040759615385, :mean=>0.5806569695440201}, :memory=>{:max=>267116544, :mean=>263768870}}>
stop:1473337535 #<Container name:borg-6251717526-729 ID:86e1cd4fdccd7479063e9e830adabc291d5986fc563539716536db63a9825c44 start:1473337233 generation_timestamps:{:nursery=>{:start=>1473337233, :stop=>1473337535}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.2178956971514243, :mean=>0.5106006614020527}, :memory=>{:max=>267116544, :mean=>264271470}}>
stop:1473337538 #<Container name:borg-6251717526-326 ID:5e373729fa44da4ff3259b2f95f098363cd03e1a9d93176e6700e18f9714c44a start:1473337230 generation_timestamps:{:nursery=>{:start=>1473337230, :stop=>1473337538}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.5583517123420796, :mean=>0.4884046661442608}, :memory=>{:max=>267116544, :mean=>264620603}}>
stop:1473337539 #<Container name:borg-6251712256-957 ID:1aaf13903aae255579a65e5ee618f81ada936fc56ee00b76658adc8ee76fa728 start:1473337226 generation_timestamps:{:nursery=>{:start=>1473337226, :stop=>1473337539}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.5626411138318994, :mean=>0.46893529595160255}, :memory=>{:max=>267116544, :mean=>264440277}}>
stop:1473337543 #<Container name:borg-6251712256-829 ID:33f28703cad38804ef968e9e66c1d311eac34087c766977ea18b04dba843eb66 start:1473337213 generation_timestamps:{:nursery=>{:start=>1473337213, :stop=>1473337543}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.389658525588952, :mean=>0.2580474844977614}, :memory=>{:max=>267116544, :mean=>264618196}}>
stop:1473337544 #<Container name:borg-6251712256-586 ID:9b23c210a216a12ce1344e6b56498920951cea56e2703649a30c64004d86590f start:1473337208 generation_timestamps:{:nursery=>{:start=>1473337208, :stop=>1473337544}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.4158945406397483, :mean=>0.44641910445842564}, :memory=>{:max=>267116544, :mean=>263918290}}>
stop:1473337544 #<Container name:borg-6251480469-129 ID:d0da74de2c5a6f03a14d97b2a9e3ac49c6e9306d080e61740807c2b37a525a38 start:1473335894 generation_timestamps:{:nursery=>{:start=>1473335894, :stop=>1473337544}} generation_current:nursery cpu:0.5 mem:0.49704 metrics:{:cpu=>{:max=>1.9875287286508339, :mean=>0.36631685603019154}, :memory=>{:max=>497037312, :mean=>495717868}}>
