#time count_nursery count_young count_tenured
1473854861 5 2 1
1473854862 5 2 1
1473854863 5 2 1
1473854864 5 2 1
1473854865 5 2 1
1473854866 5 2 1
1473854867 5 2 1
1473854868 5 2 1
1473854869 5 2 1
1473854870 5 2 1
1473854871 5 2 1
1473854872 5 2 1
1473854873 5 2 1
1473854874 5 2 1
1473854875 5 2 1
1473854876 5 2 1
1473854877 5 2 1
1473854878 5 2 1
1473854879 5 2 1
1473854880 5 2 0
1473854881 5 2 1
1473854882 5 2 1
1473854883 5 2 1
1473854884 5 2 1
1473854885 5 2 1
1473854886 5 2 1
1473854887 5 2 1
1473854888 5 2 1
1473854889 5 2 1
1473854890 5 2 1
1473854891 5 2 1
1473854892 5 2 1
1473854893 5 2 1
1473854894 5 2 1
1473854895 5 2 1
1473854896 5 2 1
1473854897 5 2 1
1473854898 5 2 1
1473854899 5 2 2
1473854900 5 2 2
1473854901 5 2 2
1473854902 5 2 2
1473854903 5 2 2
1473854904 5 2 2
1473854905 5 2 2
1473854906 5 2 2
1473854907 5 2 2
1473854908 5 2 2
1473854909 5 2 2
1473854910 5 2 2
1473854911 5 2 2
1473854912 5 2 2
1473854913 5 2 2
1473854914 5 2 2
1473854915 5 2 2
1473854916 5 2 2
1473854917 5 2 2
1473854918 5 2 2
1473854919 5 2 2
1473854920 5 2 2
1473854921 5 2 2
1473854922 5 2 2
1473854923 5 2 2
1473854924 5 2 2
1473854925 5 2 2
1473854926 5 2 2
1473854927 5 2 2
1473854928 5 2 2
1473854929 5 2 2
1473854930 5 2 2
1473854931 5 2 2
1473854932 5 2 2
1473854933 5 2 2
1473854934 5 2 2
1473854935 5 2 2
1473854936 5 2 2
1473854937 5 2 2
1473854938 5 2 2
1473854939 5 2 2
1473854940 5 2 2
1473854941 5 2 2
1473854942 5 2 2
1473854943 5 2 2
1473854944 5 2 2
1473854945 5 2 2
1473854946 5 2 2
1473854947 5 2 2
1473854948 5 2 2
1473854949 5 2 2
1473854950 5 2 2
1473854951 5 2 2
1473854952 5 2 2
1473854953 5 2 2
1473854954 5 2 2
1473854955 5 2 2
1473854956 5 2 2
1473854957 5 2 2
1473854958 5 2 2
1473854959 5 2 2
1473854960 5 2 2
1473854961 5 2 2
1473854962 5 2 2
1473854963 5 2 2
1473854964 5 2 2
1473854965 5 2 2
1473854966 5 2 2
1473854967 5 2 2
1473854968 5 2 2
1473854969 5 2 2
1473854970 5 2 2
1473854971 5 2 2
1473854972 5 2 2
1473854973 5 2 2
1473854974 5 2 2
1473854975 5 2 2
1473854976 5 2 2
1473854977 5 2 2
1473854978 5 2 2
1473854979 5 2 2
1473854980 5 2 2
1473854981 5 2 2
1473854982 5 2 2
1473854983 5 2 2
1473854984 5 2 2
1473854985 5 2 2
1473854986 5 2 2
1473854987 5 2 2
1473854988 5 2 2
1473854989 5 2 2
1473854990 5 2 2
1473854991 5 2 2
1473854992 5 2 2
1473854993 5 2 2
1473854994 5 2 2
1473854995 5 2 2
1473854996 5 2 2
1473854997 5 2 2
1473854998 5 2 2
1473854999 5 2 2
